Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,
1/11/19,0:48,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,HEARST GAYLEY,37.87552,-122.256845,N/A,,
1/11/19,1:18,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,NORTHGATE HALL,37.875023,-122.259672,N/A,,
1/11/19,2:52,DRUG VIOLATIONS,POSS OF PARAPHERNALIA,DWINELLE HALL,37.870547,-122.260603,"OCCURRED: 1/11/19 0252 HOURS WARNER, RICHARD (MB-44-O) CITED FOR POSSESSION OF DRUG PARAPHERNALIA AND EXCLUDED FROM CAMPUS FOR 7 DAYS, DWINELLE HALL",,
1/11/19,3:19,PEDESTRIAN STOP,SUSPECT STOP,UPPER SPROUL PLAZA,37.869556,-122.259337,N/A,,
1/11/19,10:38,PEDESTRIAN STOP,SUSPECT STOP,JACOBS HALL,37.876047,-122.258814,N/A,,
1/11/19,10:58,PEDESTRIAN STOP,PEDESTRIAN STOP,2519 DURANT,0,0,N/A,,
1/11/19,11:22,HEALTH AND SAFETY CODE VIOLATION,HEALTH AND SAFETY CODE,ELLSWORTH PARKING STRUCTURE,37.866273,-122.262164,N/A,,
1/11/19,11:27,HEALTH AND SAFETY CODE VIOLATION,HEALTH AND SAFETY CODE,WEST GATE,37.871785,-122.265027,N/A,,
1/11/19,12:30,ALL OTHER OFFENSES,DISTURBING THE PEACE,PEOPLES PARK,37.86582,-122.257058,N/A,,
1/11/19,14:08,ALL OTHER OFFENSES,EXCLUSION FROM CAMPUS,UPPER SPROUL PLAZA,37.869556,-122.259337,"OCCD 1/11/19, 1408 HRS (MB-33-O) CONTACTED FOR RULES VIOLATION AND ISSUED 7 DAY STAY AWAY ORDER FROM ALL UC PROPERTY, UPPER SPROUL PLAZA.",,
1/11/19,19:22,LARCENY/THEFT,PETTY THEFT-ATTEMPT,CKC TRACK,37.864913,-122.245926,"OCC: 01/11/19 1300-1330 HOURS (MA-63-O) REPORTS ATTEMPTED THEFT OF BACKPACK AND CONTENTS, CKC TRACK. NO LOSS",,
1/11/19,21:03,TRAFFIC STOP,TRAFFIC STOP,FULTON S BANCROFT,37.867845,-122.26588,N/A,,
1/11/19,21:59,ALL OTHER OFFENSES,TRESPASS - FAIL TO LEAVE,MLK,37.869249,-122.25967,N/A,,
1/11/19,22:19,TRAFFIC STOP,TRAFFIC STOP,WARR S DWI,37.865957,-122.25046,N/A,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
