Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,,
2/23/19,0:23,VANDALISM,MALICIOUS MISCHIEF -REPORT,LIFE SCIENCE ADDITION,37.871598,-122.26321,"GRAFITTI VIA WHITE SPRAYPAINT, SOUTH ELEVATOR EXTERIOR DOOR AND STAIRWELL, LSA.",,,
2/23/19,2:01,OTHERASSAULTS,BATTERY,BLACKWELL HALL,37.867763,-122.260878,NA,,,
2/23/19,9:51,TRAFFIC STOP,TRAFFIC STOP,HARRISON/8TH,37.881604,-122.299748,NA,,,
2/23/19,10:28,WELFARE CHECK,CHECK WELFARE- 911 CALL,CALVIN LAB,37.871042,-122.253736,NA,,,
2/23/19,12:25,PEDESTRIAN STOP,SUSPECT STOP,JACOBS HALL,37.876047,-122.258814,NA,,,
2/23/19,13:17,PEDESTRIAN STOP,PEDESTRIAN STOP,STRUCTURE C,37.866273,-122.262164,NA,,,
2/23/19,13:19,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,LECONTE HALL,37.872735,-122.257116,NA,,,
2/23/19,13:35,TRAFFIC STOP,TRAFFIC STOP,HEARST/SHATTUCK,37.873889,-122.268517,NA,,,
2/23/19,13:57,PEDESTRIAN STOP,SUSPECT STOP,OXFORD TRACT,37.876262,-122.267187,NA,,,
2/23/19,13:58,PEDESTRIAN STOP,SUSPECT STOP,BANWAY,37.867904,-122.266867,NA,,,
2/23/19,14:19,PEDESTRIAN STOP,SUSPECT STOP,CENTER/OXFORD,37.870599,-122.26593,NA,,,
2/23/19,15:12,PEDESTRIAN STOP,SUSPECT STOP,BLAKE/TELEGRAPH,37.864171,-122.258607,NA,,,
2/23/19,15:27,OTHERASSAULTS,STALKING,REC SPRT FAC,37.868572,-122.262722,"WILSON, ANDREW (MW-39-O) ARRESTED FOR STALKING, REC SPORTS FACILITY. TO BPD JAIL.",,,
2/23/19,18:55,PEDESTRIAN STOP,SUSPECT STOP,2529 TELEGRAPH AVE,37.864482,-122.258214,NA,,,
2/23/19,19:10,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,MLK,37.869249,-122.25967,NA,,,
2/23/19,22:09,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS VISTA LOT,37.880749,-122.247597,NA,,,
2/23/19,22:12,PEDESTRIAN STOP,SUSPECT STOP,MOFFITT LIBRARY,37.872794,-122.260716,NA,,,
2/23/19,22:20,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,WEST CRESCENT,37.871785,-122.265027,NA,,,
2/23/19,22:24,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS VISTA LOT,37.880749,-122.247597,NA,,,
2/23/19,22:41,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS TERRACE LOT,37.880194,-122.245769,NA,,,
2/23/19,23:11,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,SIGNPOST-16,37.880615,-122.230098,NA,,,
2/23/19,23:24,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,MSRI LOT,37.88085,-122.24573,NA,,,
,,,,,,,,,,
,,,,,,,,,,
