Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,,
2/24/19,1:01,TRAFFIC,ACCIDENT / MINOR INJURIES,BOTANICAL GARDENS,37.875249,-122.238693,"(FW-16-O) AND (MH-15-O) VICTIMS OF INJURY, CENTENNIAL DRIVE 1046 FEET SOUTH OF MCMILLEN. BFD RESPONDED, TRANSPORTED TO ABH.",,,
2/24/19,1:48,MOTOR VEHICLE THEFT,VEHICLE THEFT -REPORT,MEMORIAL STADIUM,37.871133,-122.25069,"STOLEN RECOVERED BLUE CUSHMAN GOLF CART, MEMORIAL STADIUM. LOSS $9000.",,,
2/24/19,2:02,TRAFFIC STOP,TRAFFIC STOP,HEARST/GAYLEY,37.87552,-122.256845,NA,,,
2/24/19,2:06,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,BERKELEY WAY WEST,37.873481,-122.267913,NA,,,
2/24/19,2:32,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,BLACKWELL HALL,37.867763,-122.260878,NA,,,
2/24/19,2:38,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,JACKSON/8TH,37.883299,-122.300192,NA,,,
2/24/19,2:59,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,UNIT-2,37.86623,-122.25484,NA,,,
2/24/19,3:44,WELFARE CHECK,CHECK WELFARE- 911 CALL,MEMORIAL GLADE,37.873187,-122.259395,NA,,,
2/24/19,9:28,WELFARE CHECK,WELFARE CHECK,GRINNELL PATH,37.870817,-122.264364,NA,,,
2/24/19,10:17,TRAFFIC STOP,TRAFFIC STOP,DELEWARE/SAN PABLO,37.871685,-122.293001,NA,,,
2/24/19,11:10,TRAFFIC STOP,TRAFFIC STOP,DWIGHT/BENVENUE,37.865551,-122.255159,NA,,,
2/24/19,12:07,DISORDERLY CONDUCT,LODGING,CLARK KERR CAMPUS,37.864256,-122.248801,NA,,,
2/24/19,12:38,TRAFFIC STOP,TRAFFIC STOP,BANCROFT BARROWS,37.868846,-122.258337,NA,,,
2/24/19,14:41,TRAFFIC STOP,TRAFFIC STOP,BANCROFT W TELE,37.868706,-122.259184,NA,,,
2/24/19,16:41,TRAFFIC STOP,TRAFFIC STOP,CHANNING/DANA,37.866631,-122.26108,NA,,,
2/24/19,16:43,ALL OTHER OFFENSES,TRESPASS - REAL PROP OR STRUCTURE W/OUT OWNER CONSENT,UNIT-3 NORTON,37.867388,-122.260876,"CHOWCASTILLO, EDDIE (MO-25-O) ARRESTED FOR TRESPASSING, AND ISSUED A 7 DAY STAY AWAY ORDER FROM UC PROPERTY, UNIT 3 NORTON. TO BPD JAIL.",,,
2/24/19,16:45,PEDESTRIAN STOP,SUSPECT STOP,786 RED OAK AVE,37.88327,-122.30153,NA,,,
2/24/19,17:22,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,WEST CRESCENT,37.871785,-122.265027,NA,,,
2/24/19,17:26,PEDESTRIAN STOP,SUSPECT STOP,ENERGY BIOSCIENCES INSTITUTE,37.874039,-122.266457,NA,,,
2/24/19,17:41,CALIFORNIA CODE OF REGULATIONS VIOLATIONS,CALIFORNIA CODE OF REGULATIONS,UNIT-2 TOWLE,37.866233,-122.254812,"(FW-22-S) REPORTS HARRASSING AND UNWANTED CONTACT FROM A STUDENT.
SUSPECT: MW-LATE 20S-THIN BUILD-LIGHT BROWN HAIR-5 FOOT 7",,,
2/24/19,18:00,ALL OTHER OFFENSES,DISTURBING THE PEACE,MLK,37.869249,-122.25967,NA,,,
2/24/19,18:22,WELFARE CHECK,CHECK WELFARE- 911 CALL,MINOR HALL,37.871441,-122.254698,NA,,,
2/24/19,19:24,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,UVA-165,37.883714,-122.304699,NA,,,
2/24/19,20:45,PEDESTRIAN STOP,SUSPECT STOP,STRUCTURE C,37.866273,-122.262164,NA,,,
2/24/19,20:48,PEDESTRIAN STOP,SUSPECT STOP,STRUCTURE C,37.866273,-122.262164,NA,,,
2/24/19,21:30,TRAFFIC STOP,TRAFFIC STOP,DURANT/PIEDMONT,37.868682,-122.252272,NA,,,
2/24/19,21:47,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS VISTA LOT,37.880749,-122.247597,NA,,,
2/24/19,22:12,TRAFFIC STOP,TRAFFIC STOP,DWIGHT/BENVENUE,37.865551,-122.255159,NA,,,
,,,,,,,,,,
,,,,,,,,,,
