Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,,
2/7/2019,0:04,PEDESTRIAN STOP,SUSPECT STOP,PEOPLES PARK,37.86582,-122.257058,N/A,,
2/7/2019,0:20,DISORDERLY CONDUCT,LODGING,CROSSROADS,37.867052,-122.256159,N/A,,
2/7/2019,0:24,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS VISTA LOT,37.880749,-122.247597,N/A,,
2/7/2019,0:31,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS VISTA LOT,37.880749,-122.247597,N/A,,
2/7/2019,0:46,PEDESTRIAN STOP,SUSPECT STOP,STRUCTURE C,37.866273,-122.262164,N/A,,
2/7/2019,0:57,TRAFFIC STOP,TRAFFIC STOP,FULTON S CENTER,37.868049,-122.266219,N/A,,
2/7/2019,1:53,PEDESTRIAN STOP,SUSPECT STOP,UNIT-1,37.868137,-122.254963,N/A,,
2/7/2019,4:02,PEDESTRIAN STOP,SUSPECT STOP,LOWER SPROUL PLAZA,37.86918,-122.260222,N/A,,
2/7/2019,4:26,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,WURSTER HALL,37.870815,-122.254698,N/A,,
2/7/2019,5:07,ALL OTHER OFFENSES,VIOLATION OF PROBATION,BARROWS HALL,37.870034,-122.257988,"OCCD 2/7/2019 0523 ROBINSON, DEMORRIS (MB-46-O) ARRESTED FOR PROBATION VIOLATION AND VIOLATION OF A COURT ORDER, BARROWS HALL TO BPD JAIL.",,
2/7/2019,5:42,ALL OTHER OFFENSES,VANDALISM TO TELEPHONE,PEOPLES PARK,37.86582,-122.257058,N/A,,
2/7/2019,6:14,PEDESTRIAN STOP,SUSPECT STOP,EUCLID N HEARST,37.875021,-122.260559,N/A,,
2/7/2019,7:20,OUTSIDEASSIST,OUTSIDEASSIST - BPD,REC SPRT FAC,37.868572,-122.262722,N/A,,
2/7/2019,8:07,DISORDERLY CONDUCT,LODGING,2420 BOWDITCH ST,37.866521,-122.256304,N/A,,
2/7/2019,8:31,DISORDERLY CONDUCT,LODGING,REC SPRT FAC GARAGE,37.868572,-122.262722,N/A,,
2/7/2019,10:40,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,PEOPLES PARK,37.86582,-122.257058,N/A,,
2/7/2019,11:33,TRAFFIC STOP,TRAFFIC STOP,PIED HASTE,37.866823,-122.251681,N/A,,
2/7/2019,11:34,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,NORTHGATE HALL,37.875023,-122.259672,N/A,,
2/7/2019,12:01,TRAFFIC STOP,TRAFFIC STOP,HASTE COLLEGE,37.86676,-122.254162,N/A,,
2/7/2019,12:28,MOTOR VEHICLE THEFT,VEHICLE THEFT -REPORT,CKC-2,37.865039,-122.249647,"OCCD 2/6/2019 1600-2/7/2019 1150 (MW-18-S) REPORTS THE THEFT OF HIS HONDA SCOOTER, CKC-2 LOT.",,
2/7/2019,12:53,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,UCPD,37.869286,-122.258614,N/A,,
2/7/2019,14:17,FORGERY AND COUNTERFEITING,FRAUDULENT USE OF CREDIT CARD,BOALT HALL,37.869768,-122.253893,N/A,,
2/7/2019,14:31,LARCENY/THEFT,PETTY THEFT -BIKE REPORT,605 OHLONE AVE,37.885254,-122.302681,"OCCD 2/7/2019 (FW-27-S) REPORTS THE THEFT OF TWO BICYCLE TIRES, 605 OHLONE. LOSS $150.",,
2/7/2019,15:46,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,PEOPLES PARK,37.86582,-122.257058,N/A,,
2/7/2019,16:59,TRAFFIC STOP,TRAFFIC STOP,BAN IFO REC SPRT FAC GAR,37.868572,-122.262722,N/A,,
2/7/2019,18:36,LARCENY/THEFT,GRAND THEFT -REPORT,CAMPUS,0,0,OCCURRED: 02/07/19 1244 HOURS (FO-28-S) REPORTS GRAND THEFT VIA PHONE SCAM. LOSS OF $2900.00.,,
2/7/2019,19:57,TRAFFIC STOP,TRAFFIC STOP,SHATTUCK N CHANN,37.865807,-122.267504,N/A,,
2/7/2019,19:58,ALL OTHER OFFENSES,DISTURBING THE PEACE,REC SPRT FAC,37.868572,-122.262722,N/A,,
2/7/2019,20:08,LARCENY/THEFT,GRAND THEFT -REPORT,MOFFITT LIBRARY,37.872794,-122.260716,"02/07/19 1230-1300 HOURS (MA-20-S) REPORTS THE THEFT OF HIS SILVER APPLE MACBOOK PRO, MOFFITT LIBRARY. LOSS OF $2000.00",,
2/7/2019,20:38,SUSPICIOUS EVENT,SUSPICIOUS CIRCUMSTANCE,DWINELLE HALL,37.870547,-122.260603,N/A,,
2/7/2019,21:22,LARCENY/THEFT,AUTO BURGLARY-REPORT,WEST CRESCENT,37.871785,-122.265027,"OCCURRED: 02/07/19 1915 - 2115 HOURS (MW-28-O) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO HIS BLUE AUDI A3, WEST CRESCENT. TOTAL LOSS OF $1100.00.",,
2/7/2019,21:28,TRAFFIC STOP,TRAFFIC STOP,2500 BANCROFT,37.868642,-122.259063,N/A,,
2/7/2019,21:48,TRAFFIC STOP,TRAFFIC STOP,BANCROFT TANG CENTER,37.867705,-122.264292,N/A,,
2/7/2019,22:15,TRAFFIC STOP,TRAFFIC STOP,DURANT ELLSWWORTH,37.864554,-122.263006,N/A,,
2/7/2019,22:23,TRAFFIC STOP,TRAFFIC STOP,OXFORD VIRGINIA,37.876456,-122.266684,N/A,,
2/7/2019,22:27,TRAFFIC STOP,TRAFFIC STOP,UNI MILVIA,37.871804,-122.270728,N/A,,
2/7/2019,23:16,ALL OTHER OFFENSES,TRESPASS - FAIL TO LEAVE,LOWER SPROUL GARAGE,37.868756,-122.26053,N/A,,
2/7/2019,23:21,PEDESTRIAN STOP,SUSPECT STOP,EDWARDS TRACK,37.868998,-122.264829,N/A,,
2/7/2019,23:35,LARCENY/THEFT,AUTO BURGLARY-REPORT,WEST CRESCENT,37.871785,-122.265027,"OCCURRED: 02/07/19 1900 - 2335 HOURS (MH-34-S) REPORTS AUTO BURGLARY VIA WINDOW SMASH TO HIS BLACK MAZDA, WEST CRESCENT. NO LOSS",,
